,Name,Count,Cluster
385,DISSOLVE,6,1
386,INDIVIDUAL,6,1
387,SEVERAL,6,1
388,HARD,6,1
389,HEALTHY,6,1
390,MINT,6,1
391,FALL,6,1
392,LIBERALLY,6,1
393,CHEWY,6,1
394,THICKEN,6,1
395,EVERY,6,1
396,HOLD,6,1
397,WINE,6,1
398,CROSS,6,1
399,PINEAPPLE,6,1
400,AID,6,1
401,CELEBRATE,6,1
402,CARROT,6,1
403,CRISP,6,1
404,SHAKE,6,1
405,BEATER,6,1
406,LIME,6,1
407,CHIA,6,1
408,ALUMINUM,6,1
409,BEATING,6,1
410,DELICATE,6,1
411,ROLLED,6,1
412,OUTER,6,1
413,PUNCH,6,1
414,THANKSGIVING,6,1
415,PALE,6,1
416,STACK,6,1
417,UNGREASED,6,1
418,NECESSARY,6,1
419,SHAPED,6,1
420,CARDAMOM,6,1
421,BREAK,6,1
422,MOUSSE,6,1
423,DAMP,6,1
424,RESERVE,5,1
425,DOUBLED,5,1
426,DIAMETER,5,1
427,RESULT,5,1
428,LINER,5,1
429,BROWNING,5,1
430,WAX,5,1
431,AVOID,5,1
432,PROTEIN,5,1
433,COATING,5,1
434,CAVITY,5,1
435,PRETZEL,5,1
436,SUPER,5,1
437,LA,5,1
438,INCORPORATE,5,1
439,TARTAR,5,1
440,ALTERNATIVELY,5,1
441,REALLY,5,1
442,INVERT,5,1
443,FIND,5,1
444,YOUD,5,1
445,GLAZE,5,1
446,FEEL,5,1
447,PERPENDICULAR,5,1
448,GRADE,5,1
449,REE,5,1
450,BUBBLE,5,1
451,QUICKLY,5,1
452,BRAND,5,1
453,THREE,5,1
454,ENTIRE,5,1
455,HOLE,5,1
456,PUFFED,5,1
457,OPENING,5,1
458,POSITION,5,1
459,AMAZING,5,1
460,PREFER,5,1
461,DOE,5,1
462,PROMISE,5,1
463,MINIMUM,5,1
464,PORTION,5,1
465,THATS,5,1
466,EAT,5,1
467,SHORT,5,1
468,THERMOMETER,5,1
469,COTTAGE,5,1
470,DIAMOND,5,1
471,SOY,5,1
472,RAINBOW,5,1
473,TREE,5,1
474,MAKER,5,1
475,STUFFED,5,1
476,ROPE,5,1
477,OPEN,5,1
478,SMITH,4,1
479,LIFT,4,1
480,GRAIN,4,1
481,DIGITAL,4,1
482,SOFTEN,4,1
483,IMMERSE,4,1
484,STRETCH,4,1
485,FIT,4,1
486,EATING,4,1
487,CARE,4,1
488,N,4,1
489,GELATIN,4,1
490,CRISPY,4,1
491,FITTED,4,1
492,FINALLY,4,1
493,LENGTHWISE,4,1
494,BUBBLING,4,1
495,PRIOR,4,1
496,OCCASION,4,1
497,TACKY,4,1
498,GRANNY,4,1
499,REHEAT,4,1
500,LIGHTER,4,1
501,DUD,4,1
502,GRIDDLE,4,1
503,PADDLE,4,1
504,TOUCHING,4,1
505,BUTTERSCOTCH,4,1
506,FUN,4,1
507,CHOOSE,4,1
508,DOOR,4,1
509,CARAMELIZE,4,1
510,LUKEWARM,4,1
511,INSERT,4,1
512,DIRECTLY,4,1
513,FRY,4,1
514,FINISHED,4,1
515,CHERRY,4,1
516,CASSEROLE,4,1
517,RUB,4,1
518,BOTTLE,4,1
519,CRACK,4,1
520,WORKING,4,1
521,MOISTURE,4,1
522,ALLSPICE,4,1
523,TRUNK,4,1
524,SKEWER,4,1
525,BLUEBERRY,4,1
526,KALE,4,1
527,KEPT,4,1
528,SHAPING,4,1
529,UNUSED,4,1
530,MOVING,4,1
531,LOOSELY,4,1
532,BRANDY,4,1
533,ELASTIC,4,1
534,MOLD,4,1
535,RECTANGLE,4,1
536,BATH,4,1
537,PLATTER,4,1
538,LOWER,4,1
539,MODE,4,1
540,RECOMMEND,4,1
541,SECURE,4,1
542,CIDER,4,1
543,FROST,4,1
544,ADJUST,4,1
545,SEALED,4,1
546,ICY,4,1
547,PERFECTLY,4,1
548,EASIER,4,1
549,SPREADING,4,1
550,SUMMER,4,1
551,RESERVED,4,1
552,STAR,4,1
553,RHUBARB,4,1
554,BUBBLY,4,1
555,SHAKING,4,1
556,RISEN,3,1
557,SPLIT,3,1
558,HIGHLY,3,1
559,GRASP,3,1
560,COUPLE,3,1
561,STRAND,3,1
562,BRAID,3,1
563,TWIST,3,1
564,GRITTY,3,1
565,CAST,3,1
566,SKIN,3,1
567,IRON,3,1
568,YUMMY,3,1
569,FINGER,3,1
570,PINCHED,3,1
571,LIQUOR,3,1
572,MINIATURE,3,1
573,PYRAMID,3,1
574,CURIOUS,3,1
575,PROCEED,3,1
576,TRUFFLE,3,1
577,PISTACHIO,3,1
578,ALTERNATELY,3,1
