,Name,Count,Cluster
603,WRAPPED,13,-1
604,SPLIT,13,-1
605,DICE,13,-1
606,SAVE,13,-1
607,CHEESECLOTH,13,-1
608,POPCORN,13,-1
609,ALTERNATIVELY,13,-1
610,SAFFRON,13,-1
611,COATING,13,-1
612,PRETTY,13,-1
613,PITTED,13,-1
614,MESH,13,-1
615,ANGEL,13,-1
616,JUICY,13,-1
617,PLUM,13,-1
618,NEVER,13,-1
619,MERINGUE,13,-1
620,TIGHT,13,-1
621,ROTISSERIE,13,-1
622,CRUMBLE,13,-1
623,COOLING,13,-1
624,PRIME,13,-1
625,BUBBLE,13,-1
626,PIN,13,-1
627,SQUID,13,-1
628,SEEDLESS,13,-1
629,WRAPPER,13,-1
630,BUBBLING,13,-1
631,MOLASSES,13,-1
632,FUDGE,13,-1
633,CAST,13,-1
634,DOE,13,-1
635,PYRAMID,12,-1
636,SHAVED,12,-1
637,WEEK,12,-1
638,REACH,12,-1
639,BAR,12,-1
640,CUSTARD,12,-1
641,SOAKED,12,-1
642,KETCHUP,12,-1
643,CHARD,12,-1
644,ORGANIC,12,-1
645,COURTESY,12,-1
646,WARMED,12,-1
647,CLARK,12,-1
648,CRUNCHY,12,-1
649,BURNING,12,-1
650,TWINE,12,-1
651,PARTY,12,-1
652,FUN,12,-1
653,UNCOVER,12,-1
654,BAGUETTE,12,-1
655,CUTTER,12,-1
656,RUNNING,12,-1
657,PANCAKE,12,-1
658,GOLD,12,-1
659,PURPLE,12,-1
660,LOOKING,12,-1
661,POP,12,-1
662,CHUNKY,12,-1
663,BRUSHING,12,-1
664,TIN,12,-1
665,MAT,12,-1
666,THINK,12,-1
667,LIGHTER,12,-1
668,MOISTURE,11,-1
669,TOUGH,11,-1
670,NUT,11,-1
671,PROTEIN,11,-1
672,BRIGHT,11,-1
673,MUG,11,-1
674,FILLET,11,-1
675,NOODLE,11,-1
676,BATH,11,-1
677,COLORING,11,-1
678,CUPCAKE,11,-1
679,SHAKER,11,-1
680,PLIABLE,11,-1
681,BLANCH,11,-1
682,SHAKING,11,-1
683,ROUGH,11,-1
684,CHOICE,11,-1
685,PESTLE,11,-1
686,HALVED,11,-1
687,LOADED,11,-1
688,KIWI,11,-1
689,INDIVIDUAL,11,-1
690,BASKET,11,-1
691,CLEAR,11,-1
692,LEEK,11,-1
693,LIBERALLY,11,-1
694,MOUTH,11,-1
695,THIRD,11,-1
696,PUFF,11,-1
697,LADLE,11,-1
698,PULP,11,-1
699,EN,11,-1
700,EATING,11,-1
701,MACHINE,11,-1
702,TRIANGLE,11,-1
703,CARAMELIZE,11,-1
704,DUST,11,-1
705,SIEVE,11,-1
706,MODE,11,-1
707,MINIMUM,10,-1
708,MORTAR,10,-1
709,CHEF,10,-1
710,BOURBON,10,-1
711,BEATER,10,-1
712,POD,10,-1
713,STUFF,10,-1
714,CLOSED,10,-1
715,MACAROON,10,-1
716,ROLLED,10,-1
717,APPLESAUCE,10,-1
718,FINALLY,10,-1
719,PAIR,10,-1
720,BISCUIT,10,-1
721,AROMATIC,10,-1
722,CHUCK,10,-1
723,POKE,10,-1
724,HALVE,10,-1
725,BRIEFLY,10,-1
